team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
New Orleans Pelicans,Denver Nuggets,98,99,-1,Pelicans,Nuggets,0
Dallas Mavericks,Washington Wizards,126,127,-1,Mavericks,Wizards,0
Phoenix Suns,Charlotte Hornets,128,97,31,Suns,Hornets,0
Los Angeles Lakers,LA Clippers,115,133,-18,Lakers,Clippers,0
Orlando Magic,Indiana Pacers,126,120,6,Magic,Pacers,0
Philadelphia 76ers,Brooklyn Nets,137,133,4,76ers,Nets,0
Houston Rockets,Washington Wizards,103,108,-5,Rockets,Wizards,0
Milwaukee Bucks,Denver Nuggets,107,99,8,Bucks,Nuggets,0
Oklahoma City Thunder,Atlanta Hawks,132,137,-5,Thunder,Hawks,0
New Orleans Pelicans,Minnesota Timberwolves,102,111,-9,Pelicans,Timberwolves,0
Portland Trail Blazers,Utah Jazz,134,124,10,Blazers,Jazz,0
Sacramento Kings,Toronto Raptors,95,113,-18,Kings,Raptors,0
Golden State Warriors,Memphis Grizzlies,122,120,2,Warriors,Grizzlies,0
Los Angeles Lakers,San Antonio Spurs,113,104,9,Lakers,Spurs,0
Brooklyn Nets,Detroit Pistons,122,130,-8,Nets,Pistons,0
Boston Celtics,New York Knicks,117,120,-3,Celtics,Knicks,0
Charlotte Hornets,Chicago Bulls,111,96,15,Hornets,Bulls,0
Houston Rockets,Cleveland Cavaliers,95,113,-18,Rockets,Cavaliers,0
Phoenix Suns,Dallas Mavericks,95,99,-4,Suns,Mavericks,0
LA Clippers,San Antonio Spurs,138,100,38,Clippers,Spurs,0
Indiana Pacers,Milwaukee Bucks,131,141,-10,Pacers,Bucks,0
Minnesota Timberwolves,Memphis Grizzlies,111,100,11,Timberwolves,Grizzlies,0
Miami Heat,Orlando Magic,110,105,5,Heat,Magic,0
Oklahoma City Thunder,Cleveland Cavaliers,112,100,12,Thunder,Cavaliers,0
Golden State Warriors,Toronto Raptors,129,117,12,Warriors,Raptors,0
Philadelphia 76ers,Denver Nuggets,126,119,7,76ers,Nuggets,0
Brooklyn Nets,New York Knicks,122,115,7,Nets,Knicks,0
Orlando Magic,Chicago Bulls,109,128,-19,Magic,Bulls,0
Detroit Pistons,Houston Rockets,114,117,-3,Pistons,Rockets,0
Atlanta Hawks,LA Clippers,113,120,-7,Hawks,Clippers,0
Minnesota Timberwolves,Sacramento Kings,117,110,7,Timberwolves,Kings,0
San Antonio Spurs,Phoenix Suns,118,128,-10,Spurs,Suns,0
New Orleans Pelicans,Washington Wizards,103,113,-10,Pelicans,Wizards,0
Boston Celtics,Los Angeles Lakers,125,121,4,Celtics,Lakers,0
Utah Jazz,Dallas Mavericks,108,100,8,Jazz,Mavericks,0
Portland Trail Blazers,Toronto Raptors,105,123,-18,Blazers,Raptors,0
Charlotte Hornets,Miami Heat,122,117,5,Hornets,Heat,0
Memphis Grizzlies,Indiana Pacers,112,100,12,Grizzlies,Pacers,0
Cleveland Cavaliers,LA Clippers,122,99,23,Cavaliers,Clippers,0
Milwaukee Bucks,New Orleans Pelicans,135,110,25,Bucks,Pelicans,0
Philadelphia 76ers,Orlando Magic,109,119,-10,76ers,Magic,0
Brooklyn Nets,Los Angeles Lakers,121,104,17,Nets,Lakers,0
San Antonio Spurs,Washington Wizards,106,127,-21,Spurs,Wizards,0
Minnesota Timberwolves,Sacramento Kings,111,118,-7,Timberwolves,Kings,0
Oklahoma City Thunder,Golden State Warriors,120,128,-8,Thunder,Warriors,0
Dallas Mavericks,Detroit Pistons,111,105,6,Mavericks,Pistons,0
Phoenix Suns,Toronto Raptors,114,106,8,Suns,Raptors,0
Portland Trail Blazers,Atlanta Hawks,129,125,4,Blazers,Hawks,0
Cleveland Cavaliers,Miami Heat,97,100,-3,Cavaliers,Heat,0
New York Knicks,Los Angeles Lakers,123,129,-6,Knicks,Lakers,0
Chicago Bulls,LA Clippers,103,108,-5,Bulls,Clippers,0
Milwaukee Bucks,Charlotte Hornets,124,115,9,Bucks,Hornets,0
Denver Nuggets,New Orleans Pelicans,122,113,9,Nuggets,Pelicans,0
Philadelphia 76ers,Orlando Magic,105,94,11,76ers,Magic,0
Detroit Pistons,Washington Wizards,N/A,N/A,#VALUE!,Pistons,Wizards,0
Memphis Grizzlies,Portland Trail Blazers,112,122,-10,Grizzlies,Blazers,0
Boston Celtics,Brooklyn Nets,139,96,43,Celtics,Nets,0
Minnesota Timberwolves,Golden State Warriors,119,114,5,Timberwolves,Warriors,0
Houston Rockets,Oklahoma City Thunder,112,106,6,Rockets,Thunder,0
San Antonio Spurs,Sacramento Kings,109,119,-10,Spurs,Kings,0
Utah Jazz,Toronto Raptors,131,128,3,Jazz,Raptors,0
Phoenix Suns,Atlanta Hawks,100,132,-32,Suns,Hawks,0
Indiana Pacers,Los Angeles Lakers,111,112,-1,Pacers,Lakers,0
New York Knicks,Miami Heat,106,104,2,Knicks,Heat,0
Cleveland Cavaliers,Memphis Grizzlies,128,113,15,Cavaliers,Grizzlies,0
Chicago Bulls,Charlotte Hornets,114,98,16,Bulls,Hornets,0
Dallas Mavericks,New Orleans Pelicans,111,106,5,Mavericks,Pelicans,0
Denver Nuggets,Golden State Warriors,134,117,17,Nuggets,Warriors,0
Milwaukee Bucks,LA Clippers,106,105,1,Bucks,Clippers,0
Detroit Pistons,Charlotte Hornets,118,112,6,Pistons,Hornets,0
Washington Wizards,Portland Trail Blazers,116,124,-8,Wizards,Blazers,0
Indiana Pacers,Sacramento Kings,107,104,3,Pacers,Kings,0
Boston Celtics,Phoenix Suns,94,106,-12,Celtics,Suns,0
San Antonio Spurs,Philadelphia 76ers,125,137,-12,Spurs,76ers,0
Minnesota Timberwolves,Orlando Magic,120,127,-7,Timberwolves,Magic,0
Houston Rockets,Toronto Raptors,111,117,-6,Rockets,Raptors,0
Utah Jazz,Atlanta Hawks,108,115,-7,Jazz,Hawks,0
New Orleans Pelicans,Los Angeles Lakers,131,126,5,Pelicans,Lakers,0
Brooklyn Nets,Washington Wizards,125,123,2,Nets,Wizards,0
Detroit Pistons,Phoenix Suns,100,116,-16,Pistons,Suns,0
New York Knicks,LA Clippers,128,134,-6,Knicks,Clippers,0
Chicago Bulls,Portland Trail Blazers,129,121,8,Bulls,Blazers,0
Oklahoma City Thunder,Houston Rockets,153,121,32,Thunder,Rockets,0
Milwaukee Bucks,Miami Heat,123,115,8,Bucks,Heat,0
Golden State Warriors,Dallas Mavericks,119,113,6,Warriors,Mavericks,0
Denver Nuggets,Atlanta Hawks,128,108,20,Nuggets,Hawks,0
Charlotte Hornets,Orlando Magic,113,119,-6,Hornets,Magic,0
Indiana Pacers,Cleveland Cavaliers,103,122,-19,Pacers,Cavaliers,0
New York Knicks,Philadelphia 76ers,108,97,11,Knicks,76ers,0
Memphis Grizzlies,Toronto Raptors,103,106,-3,Grizzlies,Raptors,0
New Orleans Pelicans,Sacramento Kings,136,104,32,Pelicans,Kings,0
Minnesota Timberwolves,Denver Nuggets,128,98,30,Timberwolves,Nuggets,0
