team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Washington Wizards,Atlanta Hawks,107,114,-7,Wizards,Hawks,0
Minnesota Timberwolves,Brooklyn Nets,123,124,-1,Timberwolves,Nets,0
Miami Heat,Cleveland Cavaliers,119,115,4,Heat,Cavaliers,0
San Antonio Spurs,Denver Nuggets,128,120,8,Spurs,Nuggets,0
Los Angeles Lakers,Toronto Raptors,122,112,10,Lakers,Raptors,0
LA Clippers,New York Knicks,106,95,11,Clippers,Knicks,0
Charlotte Hornets,Utah Jazz,111,119,-8,Hornets,Jazz,0
Detroit Pistons,Indiana Pacers,115,121,-6,Pistons,Pacers,0
Orlando Magic,Miami Heat,126,114,12,Magic,Heat,0
Atlanta Hawks,Boston Celtics,125,134,-9,Hawks,Celtics,0
Houston Rockets,Chicago Bulls,111,119,-8,Rockets,Bulls,0
Memphis Grizzlies,Dallas Mavericks,112,108,4,Grizzlies,Mavericks,0
Golden State Warriors,Milwaukee Bucks,125,116,9,Warriors,Bucks,0
New Orleans Pelicans,Oklahoma City Thunder,96,110,-14,Pelicans,Thunder,0
Phoenix Suns,Sacramento Kings,119,128,-9,Suns,Kings,0
Denver Nuggets,Brooklyn Nets,120,122,-2,Nuggets,Nets,0
Charlotte Hornets,Cleveland Cavaliers,108,114,-6,Hornets,Cavaliers,0
Philadelphia 76ers,Washington Wizards,112,93,19,76ers,Wizards,0
